"time_stamp,""humidity"",""temperature"",""topic"""
"2024-12-19 17:30:13.075754000,""2"",""20"",""DHT11"""
"2024-12-19 17:12:07.563927000,""1"",""19"",""DHT11"""
"2024-12-19 00:47:15.498983000,""23"",""20"",""DHT11"""
"2024-12-19 20:10:55.272729000,""32"",""19"",""DHT11"""
"2024-12-19 17:28:51.740836000,""35"",""20"",""DHT11"""
"2024-12-19 17:17:59.756153000,""35"",""20"",""DHT11"""
"2024-12-19 20:25:22.652827000,""32"",""19"",""DHT11"""
"2024-12-19 20:03:50.745108000,""33"",""19"",""DHT11"""
"2024-12-19 17:34:51.529047000,""33"",""20"",""DHT11"""
"2024-12-19 17:31:32.986995000,""34"",""20"",""DHT11"""
"2024-12-19 17:32:30.091374000,""35"",""20"",""DHT11"""
"2024-12-19 00:46:40.863890000,""23"",""20"",""DHT11"""
"2024-12-19 20:15:32.448566000,""6"",""19"",""DHT11"""
"2024-12-19 17:26:35.591996000,""34"",""20"",""DHT11"""
"2024-12-19 17:11:34.973429000,""1"",""19"",""DHT11"""
"2024-12-19 17:07:19.992672000,""1"",""19"",""DHT11"""
"2024-12-19 17:24:36.214810000,""35"",""20"",""DHT11"""
"2024-12-19 20:16:54.381341000,""31"",""20"",""DHT11"""
"2024-12-19 20:06:30.237892000,""34"",""19"",""DHT11"""
"2024-12-19 17:32:49.684558000,""35"",""20"",""DHT11"""
"2024-12-19 20:13:05.890463000,""34"",""19"",""DHT11"""
"2024-12-19 20:07:24.171986000,""32"",""19"",""DHT11"""
"2024-12-19 17:33:28.367664000,""35"",""20"",""DHT11"""
"2024-12-19 20:20:57.524240000,""33"",""20"",""DHT11"""
"2024-12-19 20:04:04.806690000,""35"",""19"",""DHT11"""
